obs,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
28,0,0.006332519849037754,0.019812064115305738,0.0371183668293,0.05699005319749392,0.07878501945604277,0.10212460332897884,0.12676494919293319,0.15253996056669092,0.17933246922494966,0.20705829507737686
29,0,0.006113214292762661,0.019121266169433375,0.03581489135067705,0.054974399641119664,0.07597857252891231,0.09846070197841035,0.12218422442520091,0.14698755102087957,0.17275616744483216,0.19940718526675
30,0,0.00590859038161246,0.01847702379127039,0.034599888747334176,0.05309655484054745,0.0733654237184855,0.09505107177289875,0.11792388144489502,0.14182663319596328,0.166647482682438,0.19230498083676137
31,0,0.0057172215254168105,0.017874783521914565,0.03346464416319741,0.05134284374629147,0.07092624443365304,0.09187008361586094,0.113951355612625,0.13701705906393746,0.16095800156300616,0.18569426566359173
32,0,0.005537860164003126,0.017310567031640984,0.0324015512983662,0.04970134387480074,0.06864420282505712,0.08889544689565958,0.1102383625260419,0.1325240091850904,0.15564580497742767,0.17952541633609737
33,6.215375453599486e-18,0.0053694105368718445,0.016780883087191882,0.03140394152458165,0.04816161309413561,0.06650457281607566,0.08610768208940668,0.10676021533020799,0.12831713377175014,0.15067440885420647,0.17375531424053606
34,6.2344951829348706e-18,0.005210906276268948,0.016282655210122746,0.030465943674648558,0.046714466648823366,0.06449441444782458,0.08348969045372322,0.1034952689903192,0.12436985532639581,0.14601190677211753,0.16834630670422432
35,6.252630411177046e-18,0.005061491855444201,0.01581316185710865,0.029582368266969836,0.04535179333097358,0.06260231079433715,0.08102640053701592,0.10042446473798629,0.12065879834191687,0.14163027069060452,0.16326536236434694
36,0,0.004920407139810455,0.01536998666416184,0.028748611335993397,0.04406640300315648,0.06081815009132838,0.07870447595018112,0.09753095418928728,0.11716331975796467,0.13750477662994837,0.15848337940134619
37,0,0.004786974451940448,0.014950976833157692,0.027960574100447978,0.042851899404114734,0.05913294425732018,0.07651207234011151,0.09479978730312016,0.11386511993385588,0.133613529891164,0.15397461511049093
38,0,0.004660587685768785,0.014554208147292405,0.02721459550698771,0.04170257347553525,0.057538676901201354,0.07443863415158927,0.09221765185221274,0.11074791842995883,0.12993707017054082,0.14971621254798137
39,0,0.0045407031009901035,0.014177955415274114,0.026507395303779747,0.04061331344668381,0.05602817536971395,0.07247472376982102,0.08977265473219115,0.10779718230710386,0.12645804125142854,0.14568780540992585
40,6.330896909508786e-18,0.004426831502681392,0.013820667386148353,0.025836025774588198,0.03957952868260636,0.05459500250945403,0.07061187717320361,0.0874541374603592,0.10499989725437703,0.12316091323540744,0.14187118639096308
41,0,0.004318531568912407,0.01348094536516904,0.025197830633909932,0.03859708489808936,0.05323336468577722,0.06884248141295932,0.08525251977595001,0.1023443738515803,0.12003174778217568,0.13825002738090336
42,0,0.004215404134432506,0.0131575249089056,0.024590409873305935,0.03766224880557388,0.051938033277582375,0.06715967015962646,0.08315916646398076,0.0998200828164774,0.11705799876003029,0.1348096422464713
43,6.3698365802431544e-18,0.004117087274333756,0.012849260094380243,0.02401158957721449,0.03677164063171278,0.05070427739804168,0.06555723427964881,0.0811662734706201,0.09741751428996225,0.11422834220995604,0.1315367847938448
44,0,0.004023252060053229,0.012555109949594962,0.02345939590738164,0.03592219322731627,0.04952780601092493,0.06402954497555875,0.07926677012201253,0.09512805715627728,0.11153253070081295,0.12841947594917152
45,0,0.003933598882833431,0.01227412670671987,0.022932032599251004,0.035111116726370226,0.048404717945671846,0.0625714874756808,0.07745423484758268,0.09294389514104151,0.10896126807831288,0.12544685532626396
46,0,0.003847854258050289,0.012005445598556616,0.022427861429288577,0.03433586789472589,0.04733145858098944,0.061178403620351145,0.07572282227805469,0.09085791702246317,0.1065061013439854,0.12260905324562549
47,0,0.003765768038596789,0.011748275966789363,0.02194538520543326,0.033594123457925555,0.0463047821810816,0.05984604198143387,0.07406719996431721,0.0888636387649026,0.1041593269854226,0.11989707998095002
48,0,0.0036871109775106587,0.011501893489386593,0.02148323290838929,0.032883756818091775,0.0453217190418131,0.05857051438571977,0.0724824932660371,0.08695513576485567,0.10191390954847648,0.11730272957905595
49,0,0.003611672589825254,0.011265633366185787,0.021040146672967476,0.03220281766776369,0.04437954674476267,0.05734825790240154,0.07096423720406761,0.08512698370728838,0.09976341062070308,0.11481849605782135
50,0,0.0035392592716462297,0.01103888432761982,0.020614970348973975,0.031549514088592974,0.04347576493189044,0.05617600150932277,0.06950833427016294,0.08337420678033407,0.09770192670234179,0.11243750015776113
